iter	Passed	Remaining
0	49	24915
1	53	13309
2	57	9482
3	60	7541
4	64	6406
5	68	5618
6	71	5040
7	75	4647
8	78	4301
9	82	4033
10	85	3813
11	90	3676
12	94	3540
13	98	3429
14	102	3326
15	107	3240
16	111	3165
17	115	3093
18	119	3028
19	122	2950
20	126	2883
21	130	2827
22	133	2770
23	136	2714
24	140	2664
25	144	2628
26	147	2585
27	151	2546
28	154	2512
29	157	2473
30	161	2439
31	164	2405
32	167	2374
33	171	2346
34	174	2317
35	177	2290
36	181	2265
37	184	2241
38	187	2218
39	190	2195
40	194	2174
41	197	2153
42	200	2133
43	204	2115
44	207	2097
45	210	2080
46	214	2064
47	217	2048
48	220	2033
49	224	2017
50	227	2002
51	230	1988
52	234	1975
53	237	1961
54	240	1948
55	244	1936
56	247	1923
57	251	1912
58	254	1900
59	257	1890
60	261	1879
61	264	1868
62	267	1857
63	271	1847
64	274	1836
65	277	1826
66	281	1817
67	284	1807
68	287	1798
69	291	1789
70	294	1780
71	297	1771
72	301	1762
73	304	1753
74	308	1745
75	311	1737
76	314	1729
77	318	1721
78	321	1712
79	324	1704
80	327	1696
81	331	1689
82	334	1681
83	338	1674
84	341	1667
85	344	1659
86	348	1652
87	351	1645
88	354	1638
89	358	1631
90	361	1624
91	364	1617
92	368	1611
93	371	1604
94	374	1597
95	378	1591
96	381	1586
97	385	1579
98	390	1580
99	394	1576
100	397	1569
101	401	1565
102	405	1561
103	408	1554
104	411	1548
105	415	1542
106	418	1536
107	421	1530
108	425	1524
109	429	1522
110	433	1518
111	437	1514
112	441	1511
113	445	1507
114	449	1503
115	452	1498
116	456	1492
117	459	1487
118	462	1482
119	466	1476
120	469	1470
121	472	1465
122	476	1460
123	479	1454
124	482	1448
125	486	1443
126	489	1438
127	493	1433
128	496	1427
129	499	1422
130	502	1416
131	506	1411
132	509	1405
133	512	1400
134	516	1395
135	519	1390
136	522	1384
137	525	1379
138	529	1375
139	533	1370
140	536	1366
141	540	1362
142	543	1357
143	547	1352
144	550	1347
145	553	1342
146	557	1338
147	560	1333
148	563	1327
149	567	1323
150	570	1318
151	573	1313
152	576	1308
153	580	1303
154	583	1298
155	586	1294
156	590	1289
157	593	1285
158	597	1280
159	600	1276
160	603	1271
161	607	1266
162	610	1262
163	613	1257
164	617	1253
