MSE,MAE,RMSE,MAPE
0.0004186680,0.0146198646,0.0204613772,4.1415047969
0.0005884795,0.0146161175,0.0242585970,4.0136515453
0.0003497074,0.0134963970,0.0187004664,3.7987204135
0.0003860266,0.0141329682,0.0196475585,3.9427827869
0.0004221348,0.0150716354,0.0205459190,4.1268704401
0.0005421175,0.0143311127,0.0232834158,3.8548262545
0.0004693753,0.0147064865,0.0216650701,4.2101687038
0.0005036422,0.0151190728,0.0224419737,4.2993990414
0.0004440618,0.0142732981,0.0210727731,3.9412843725
0.0004379898,0.0144101002,0.0209282048,3.9386727102
