MSE,MAE,RMSE,MAPE
0.0008726464,0.0207080490,0.0295405892,5.7807058587
0.0008064061,0.0197155266,0.0283972908,5.4138295366
0.0010119516,0.0200448260,0.0318111861,5.4343740384
0.0011726688,0.0212558541,0.0342442515,5.7416094982
0.0007965014,0.0200523016,0.0282223560,5.4398906986
0.0007701821,0.0202184763,0.0277521557,5.6424060501
0.0008067847,0.0204205316,0.0284039554,5.7548922243
0.0012109130,0.0209893819,0.0347981749,5.6641655565
0.0007703881,0.0206198060,0.0277558659,5.7015810217
0.0010988221,0.0210848059,0.0331484852,5.8041146442
