MSE,MAE,RMSE,MAPE
0.0016482896,0.0319466670,0.0405991335,9.1388662775
0.0023095389,0.0336902037,0.0480576619,9.6177545423
0.0017165463,0.0326621023,0.0414312233,9.3003128231
0.0019278287,0.0333897118,0.0439070461,9.5454749400
0.0017955273,0.0319658327,0.0423736634,9.3490799192
0.0018996862,0.0323961708,0.0435853892,8.8722616912
0.0017801100,0.0326708098,0.0421913493,9.1701993254
0.0018749983,0.0331453745,0.0433012503,9.4492201356
0.0022492496,0.0319105356,0.0474262541,9.1275864710
0.0017115437,0.0328658936,0.0413708071,9.3728660642
