MSE,MAE,RMSE,MAPE
0.0005818664,0.0159759287,0.0241219072,4.4461007816
0.0005173045,0.0164994113,0.0227443298,4.4616250389
0.0006268762,0.0175270313,0.0250374952,4.9441492257
0.0005494674,0.0175953779,0.0234407210,4.9350815728
0.0006707378,0.0190055367,0.0258986069,5.4650423345
0.0004943562,0.0151058051,0.0222341225,4.2704573681
0.0005158405,0.0170255678,0.0227121227,4.6570421967
0.0005836275,0.0163087931,0.0241583830,4.4493469590
0.0007623828,0.0199696600,0.0276112801,5.9998752355
0.0007483947,0.0172074900,0.0273568041,4.9023748313
