MSE,MAE,RMSE,MAPE
0.0005188488,0.0148458521,0.0227782534,4.1723530662
0.0003859983,0.0139438503,0.0196468392,3.9270549032
0.0005624190,0.0151172526,0.0237153746,4.2338235542
0.0005724906,0.0152165756,0.0239267765,4.1499009589
0.0004790857,0.0150901520,0.0218880256,4.1300482754
0.0004941038,0.0147625590,0.0222284455,4.1347670650
0.0003974802,0.0144631526,0.0199369066,4.0226553226
0.0004279843,0.0151106499,0.0206877818,4.1881105017
0.0003712367,0.0139805841,0.0192675048,3.8622842761
0.0003363979,0.0136425010,0.0183411535,3.8150987810
