MSE,MAE,RMSE,MAPE
0.0004912439,0.0140624175,0.0221640233,3.8092225114
0.0006090568,0.0154442968,0.0246790754,4.2756960861
0.0005971449,0.0156464358,0.0244365490,4.2957750703
0.0005074331,0.0146477881,0.0225262766,3.9648359879
0.0005457291,0.0149574929,0.0233608446,4.1750993711
0.0003704603,0.0137109545,0.0192473442,3.8682371761
0.0005343059,0.0148789059,0.0231150578,4.0603200132
0.0009286608,0.0165907922,0.0304739365,4.5129945844
0.0008000306,0.0152807419,0.0282848113,4.1839802619
0.0003688601,0.0135280049,0.0192057311,3.7608212828
