MSE,MAE,RMSE,MAPE
0.0002823181,0.0042380360,0.0168023228,36.6354341188
0.0008200690,0.0047355279,0.0286368474,37.1697999671
0.0001815812,0.0039242041,0.0134752077,34.3530227925
0.0002115063,0.0042771976,0.0145432571,47.5426768897
0.0000543839,0.0024399357,0.0073745467,29.4926108513
0.0006065835,0.0048209052,0.0246289159,39.6288081802
0.0004626575,0.0056772454,0.0215094739,29.4924664389
0.0002737757,0.0041227514,0.0165461674,34.8041630585
0.0004412089,0.0045456798,0.0210049737,38.2797310321
0.0004355077,0.0045069908,0.0208688211,31.6183955513
