MSE,MAE,RMSE,MAPE
0.0011930653,0.0055130716,0.0345407778,19.5392450583
0.0002127813,0.0040176333,0.0145870254,14.7843372529
0.0004634447,0.0045530279,0.0215277659,24.6326757940
0.0015205930,0.0057014730,0.0389947815,35.7524753955
0.0008142637,0.0057018991,0.0285353054,13.7557200695
0.0021705521,0.0066482643,0.0465891846,35.8424229721
0.0018635494,0.0066834655,0.0431688471,33.4874532707
0.0004009699,0.0044589382,0.0200242333,18.1875734977
0.0023684664,0.0074743309,0.0486668927,47.1302722586
0.0008143485,0.0056559661,0.0285367918,12.2607593224
