MSE,MAE,RMSE,MAPE
0.0006503725,0.0095561538,0.0255024023,106.1824734719
0.0014864864,0.0111960413,0.0385549786,130.5402684358
0.0010476670,0.0102643567,0.0323676851,144.6766597842
0.0015388408,0.0114482871,0.0392280613,109.5563672664
0.0013293163,0.0118320252,0.0364597900,136.1550080812
0.0017802026,0.0133659317,0.0421924477,134.5174022738
0.0018087263,0.0127749886,0.0425291230,122.2450759510
0.0012886424,0.0109815470,0.0358976660,160.5662139284
0.0012778735,0.0109860167,0.0357473560,110.6263854093
0.0010327513,0.0107526130,0.0321364478,121.6722925304
