MSE,MAE,RMSE,MAPE
0.0002752480,0.0060563177,0.0165906004,131.0425467840
0.0005207788,0.0066332896,0.0228205777,131.6687718838
0.0002082198,0.0057405556,0.0144298231,214.3618858313
0.0000884903,0.0072263781,0.0094069283,420.8895557070
0.0001059756,0.0091164337,0.0102944446,539.5662376833
0.0001244724,0.0057162278,0.0111567207,181.1940241466
0.0003737093,0.0075870201,0.0193315635,299.8705496987
0.0003784159,0.0087907335,0.0194529146,348.8654552953
0.0016445807,0.0152425817,0.0405534296,693.1206392083
0.0001174095,0.0039803639,0.0108355664,126.7262274633
