MSE,MAE,RMSE,MAPE
0.0004567002,0.0041845755,0.0213705455,17.9288553212
0.0003843862,0.0043714153,0.0196057700,17.1366060559
0.0003068432,0.0039218653,0.0175169399,15.1981711746
0.0001585267,0.0034899491,0.0125907395,26.2045251490
0.0001589209,0.0026686801,0.0126063816,16.2539102641
0.0001051524,0.0029195677,0.0102543830,23.4459358378
0.0007682806,0.0041282733,0.0277178758,16.7527992806
0.0008247892,0.0039798830,0.0287191443,19.2698114092
0.0003375383,0.0043032428,0.0183722146,39.5527541285
0.0002115930,0.0037806404,0.0145462374,28.0125786376
