MSE,MAE,RMSE,MAPE
0.0002875549,0.0039071372,0.0169574435,16.1989464405
0.0008884275,0.0049844218,0.0298065002,31.1714468924
0.0004233537,0.0043862625,0.0205755618,30.5991801737
0.0006292277,0.0049667802,0.0250844119,25.2887528416
0.0001065862,0.0027262564,0.0103240602,16.7995876881
0.0001047185,0.0027370063,0.0102332050,19.9947812599
0.0008249598,0.0046208196,0.0287221138,12.9552462497
0.0002043990,0.0031193120,0.0142968189,16.5719988633
0.0004253517,0.0043425389,0.0206240574,31.5803680994
0.0006000327,0.0042216987,0.0244955650,16.1857620671
