MSE,MAE,RMSE,MAPE
0.0000225157,0.0030477664,0.0047450691,1.2217181324
0.0000214164,0.0030742466,0.0046277823,1.4353853000
0.0000438252,0.0033275768,0.0066200607,11.5699957637
0.0000220244,0.0029168475,0.0046930187,3.1283288533
0.0000204723,0.0027714935,0.0045246303,5.4553342586
0.0000293483,0.0033389671,0.0054174084,1.6966215934
0.0000224139,0.0029486878,0.0047343355,6.7131625947
0.0000250020,0.0030062695,0.0050002007,3.2578024880
0.0000220204,0.0030678304,0.0046925876,3.5138596004
0.0000281304,0.0031610371,0.0053038127,2.6725624609
