MSE,MAE,RMSE,MAPE
0.0000022393,0.0005779029,0.0014964351,0.7135740659
0.0000042857,0.0007393109,0.0020701977,0.3125073572
0.0000023582,0.0006486666,0.0015356332,0.5649267133
0.0000031390,0.0006990264,0.0017717155,0.3044520362
0.0000030901,0.0005749215,0.0017578604,0.7178322326
0.0000044155,0.0007233590,0.0021013072,0.5326652720
0.0000019018,0.0005611544,0.0013790616,0.2056841053
0.0000024847,0.0006268445,0.0015762852,0.7555864198
0.0000081832,0.0008512715,0.0028606282,0.4167948024
0.0000033343,0.0007140139,0.0018260031,0.4027017775
