MSE,MAE,RMSE,MAPE
0.0006079872,0.0184172658,0.0246573968,6.0134500323
0.0006125832,0.0183026732,0.0247504175,4.1865028846
0.0006445241,0.0186135990,0.0253874796,5.6557691755
0.0005877054,0.0178285792,0.0242426357,3.2414901526
0.0005319514,0.0172911978,0.0230640708,3.9754073734
0.0006124266,0.0182413200,0.0247472552,4.9692973248
0.0006066684,0.0179915114,0.0246306396,3.8781788657
0.0006566412,0.0190856946,0.0256250112,3.3957668696
0.0006809935,0.0188679072,0.0260958521,3.5940400310
0.0006194946,0.0177224888,0.0248896477,3.3911508941
