MSE,MAE,RMSE,MAPE
0.0000035916,0.0014501776,0.0018951466,0.4440038497
0.0000210599,0.0042244273,0.0045891053,1.0010652866
0.0000047694,0.0017314743,0.0021839046,0.3812598123
0.0000038839,0.0015907581,0.0019707550,0.4791384003
0.0000062331,0.0018870690,0.0024966165,0.7367172660
0.0000039719,0.0015520278,0.0019929738,1.9619593132
0.0000035745,0.0014632694,0.0018906280,0.5485312630
0.0000031848,0.0013020357,0.0017845878,0.4496763544
0.0000028655,0.0012794326,0.0016927863,0.4666238561
0.0000081154,0.0023399026,0.0028487583,0.5057633793
