MSE,MAE,RMSE,MAPE
0.0000004360,0.0002738639,0.0006603172,0.1335195807
0.0000005262,0.0002944693,0.0007254099,0.1341851058
0.0000007627,0.0003166358,0.0008733044,2.5348831647
0.0000007648,0.0003405411,0.0008745192,0.2164784486
0.0000012369,0.0004021322,0.0011121561,2.9195342489
0.0000005832,0.0003058957,0.0007637008,0.4388055950
0.0000004298,0.0002581992,0.0006555766,0.3346209314
0.0000005606,0.0003106386,0.0007487468,0.3790482211
0.0000004324,0.0002977088,0.0006575855,0.2926758710
0.0000006106,0.0003060141,0.0007814031,0.1562401391
