MSE,MAE,RMSE,MAPE
0.0000223171,0.0029843795,0.0047240956,0.9168835065
0.0000247881,0.0028712992,0.0049787651,1.5554028560
0.0000181752,0.0028598809,0.0042632333,0.9237181520
0.0000175902,0.0026184526,0.0041940680,2.6229652919
0.0000275075,0.0030321360,0.0052447621,1.8126738545
0.0000227633,0.0026908412,0.0047710874,2.2327562534
0.0000286045,0.0030811421,0.0053483215,1.2244604299
0.0000134915,0.0024834310,0.0036730745,0.6807969794
0.0000213119,0.0028813973,0.0046164790,0.9389814960
0.0000216715,0.0029518807,0.0046552698,0.9582348386
