MSE,MAE,RMSE,MAPE
0.0000056443,0.0007275234,0.0023757762,0.5901023912
0.0000027908,0.0006601598,0.0016705737,0.2772672585
0.0000022558,0.0006849578,0.0015019444,0.7578598622
0.0000018423,0.0006015493,0.0013573112,0.3030652034
0.0000031131,0.0007168572,0.0017644113,0.2692293651
0.0000065909,0.0008575543,0.0025672744,0.3767805050
0.0000031219,0.0006646855,0.0017668873,0.2504168542
0.0000033216,0.0007519485,0.0018225164,0.4945160917
0.0000026552,0.0006458744,0.0016294707,0.3700529535
0.0000036081,0.0006372623,0.0018995013,0.2789687038
