MSE,MAE,RMSE,MAPE
0.0011379981,0.0241370464,0.0337342271,6.1156987911
0.0011073679,0.0240433285,0.0332771381,6.3834861951
0.0009696776,0.0228860874,0.0311396466,5.7614253298
0.0013620431,0.0254577501,0.0369058680,6.8522705171
0.0012810116,0.0257781285,0.0357912218,6.9660092537
0.0012130950,0.0255107097,0.0348295136,6.4882363243
0.0012319662,0.0251490846,0.0350993764,6.2848862969
0.0012948201,0.0252911902,0.0359836085,6.4989908894
0.0011618712,0.0245912134,0.0340862318,6.0603624284
0.0013383424,0.0260802432,0.0365833625,6.7735858334
