MSE,MAE,RMSE,MAPE
0.0000049305,0.0017598415,0.0022204754,0.6838834436
0.0000046411,0.0017896359,0.0021543241,0.4148159255
0.0000078931,0.0022807818,0.0028094749,2.0676585584
0.0000047871,0.0016958115,0.0021879362,1.2466452025
0.0000022155,0.0011171026,0.0014884708,0.7234426222
0.0000034960,0.0013983072,0.0018697527,0.2896671976
0.0000042381,0.0016195892,0.0020586765,0.6674428282
0.0000035123,0.0015223820,0.0018741124,0.4018030708
0.0000026866,0.0011829390,0.0016390702,1.1230468023
0.0000027124,0.0012039265,0.0016469512,0.3399855152
