MSE,MAE,RMSE,MAPE
0.0000006183,0.0003349097,0.0007863030,0.2647733862
0.0000010528,0.0003308345,0.0010260500,0.1137097659
0.0000015382,0.0003680128,0.0012402524,0.2467729264
0.0000091229,0.0005424716,0.0030204074,0.1147930572
0.0000004648,0.0003237434,0.0006817854,0.1302654154
0.0000011442,0.0003902352,0.0010696771,0.1524286802
0.0000016004,0.0003800865,0.0012650715,0.1639375805
0.0000010854,0.0003184360,0.0010418130,0.1622839110
0.0000004190,0.0003149761,0.0006472651,0.1588831511
0.0000007061,0.0003195456,0.0008402745,0.2920275824
