MSE,MAE,RMSE,MAPE
0.0000056281,0.0011190094,0.0023723603,0.3899664445
0.0000062373,0.0010946966,0.0024974509,0.4734062745
0.0000060035,0.0011593591,0.0024502062,0.4859663363
0.0000040315,0.0010134707,0.0020078653,0.4494121144
0.0000052239,0.0011554372,0.0022855915,0.3956258418
0.0000039223,0.0010740703,0.0019804802,1.0556474121
0.0000098556,0.0012677939,0.0031393657,1.3448748241
0.0000032296,0.0010039842,0.0017971098,0.5953260927
0.0000053705,0.0010693976,0.0023174347,0.3744420075
0.0000069963,0.0012373257,0.0026450519,1.0545303243
