Algorithm,Operation,Testbed,MSE,MAE,RMSE,MAPE,,,
CatBoost,Read,Fabric,0.000418668,0.014619865,0.020461377,4.141504797,,,
CatBoost,Read,Fabric,0.00058848,0.014616118,0.024258597,4.013651545,,,
CatBoost,Read,Fabric,0.000349707,0.013496397,0.018700466,3.798720414,,,
CatBoost,Read,Fabric,0.000386027,0.014132968,0.019647559,3.942782787,,,
CatBoost,Read,Fabric,0.000422135,0.015071635,0.020545919,4.12687044,,,
CatBoost,Read,Fabric,0.000542118,0.014331113,0.023283416,3.854826255,,,
CatBoost,Read,Fabric,0.000469375,0.014706487,0.02166507,4.210168704,,,
CatBoost,Read,Fabric,0.000503642,0.015119073,0.022441974,4.299399041,,,
CatBoost,Read,Fabric,0.000444062,0.014273298,0.021072773,3.941284373,,,
CatBoost,Read,Fabric,0.00043799,0.0144101,0.020928205,3.93867271,,,
DT,Read,Fabric,0.000872646,0.020708049,0.029540589,5.780705859,,,
DT,Read,Fabric,0.000806406,0.019715527,0.028397291,5.413829537,,,
DT,Read,Fabric,0.001011952,0.020044826,0.031811186,5.434374038,,,
DT,Read,Fabric,0.001172669,0.021255854,0.034244252,5.741609498,,,
DT,Read,Fabric,0.000796501,0.020052302,0.028222356,5.439890699,,,
DT,Read,Fabric,0.000770182,0.020218476,0.027752156,5.64240605,,,
DT,Read,Fabric,0.000806785,0.020420532,0.028403955,5.754892224,,,
DT,Read,Fabric,0.001210913,0.020989382,0.034798175,5.664165557,,,
DT,Read,Fabric,0.000770388,0.020619806,0.027755866,5.701581022,,,
DT,Read,Fabric,0.001098822,0.021084806,0.033148485,5.804114644,,,
KNN,Read,Fabric,0.00164829,0.031946667,0.040599134,9.138866278,,,
KNN,Read,Fabric,0.002309539,0.033690204,0.048057662,9.617754542,,,
KNN,Read,Fabric,0.001716546,0.032662102,0.041431223,9.300312823,,,
KNN,Read,Fabric,0.001927829,0.033389712,0.043907046,9.54547494,,,
KNN,Read,Fabric,0.001795527,0.031965833,0.042373663,9.349079919,,,
KNN,Read,Fabric,0.001899686,0.032396171,0.043585389,8.872261691,,,
KNN,Read,Fabric,0.00178011,0.03267081,0.042191349,9.170199325,,,
KNN,Read,Fabric,0.001874998,0.033145375,0.04330125,9.449220136,,,
KNN,Read,Fabric,0.00224925,0.031910536,0.047426254,9.127586471,,,
KNN,Read,Fabric,0.001711544,0.032865894,0.041370807,9.372866064,,,
LSTM,Read,Fabric,0.000581866,0.015975929,0.024121907,4.446100782,,,
LSTM,Read,Fabric,0.000517305,0.016499411,0.02274433,4.461625039,,,
LSTM,Read,Fabric,0.000626876,0.017527031,0.025037495,4.944149226,,,
LSTM,Read,Fabric,0.000549467,0.017595378,0.023440721,4.935081573,,,
LSTM,Read,Fabric,0.000670738,0.019005537,0.025898607,5.465042335,,,
LSTM,Read,Fabric,0.000494356,0.015105805,0.022234123,4.270457368,,,
LSTM,Read,Fabric,0.000515841,0.017025568,0.022712123,4.657042197,,,
LSTM,Read,Fabric,0.000583628,0.016308793,0.024158383,4.449346959,,,
LSTM,Read,Fabric,0.000762383,0.01996966,0.02761128,5.999875236,,,
LSTM,Read,Fabric,0.000748395,0.01720749,0.027356804,4.902374831,,,
RF,Read,Fabric,0.000518849,0.014845852,0.022778253,4.172353066,,,
RF,Read,Fabric,0.000385998,0.01394385,0.019646839,3.927054903,,,
RF,Read,Fabric,0.000562419,0.015117253,0.023715375,4.233823554,,,
RF,Read,Fabric,0.000572491,0.015216576,0.023926777,4.149900959,,,
RF,Read,Fabric,0.000479086,0.015090152,0.021888026,4.130048275,,,
RF,Read,Fabric,0.000494104,0.014762559,0.022228446,4.134767065,,,
