type total,ops,op/s,pk/s,row/s,mean,med,.95,.99,.999,max,time,stderr,errors,gc: #,max ms,sum ms,sdv ms,mb
total,17,17,17,17,110.4,135.4,315.6,356.0,356.0,356.0,1703524976,0.0,0,0,0,0,0,0
total,44,27,27,27,145.5,158.1,290.2,335.8,335.8,335.8,1703524977,0.15032,0,0,0,0,0,0
total,86,42,42,42,99.2,135.1,178.4,310.1,310.1,310.1,1703524978,0.19155,0,0,0,0,0,0
total,124,38,38,38,103.2,137.8,178.3,178.4,178.4,178.4,1703524979,0.14183,0,0,0,0,0,0
total,153,29,29,29,136.6,157.9,178.4,178.7,178.7,178.7,1703524980,0.12305,0,0,0,0,0,0
total,194,41,41,41,97.5,135.0,177.9,178.4,178.4,178.4,1703524981,0.1033,0,0,0,0,0,0
total,235,41,41,41,97.8,136.4,178.1,178.3,178.3,178.3,1703524982,0.0889,0,0,0,0,0,0
total,292,57,57,57,69.2,1.9,177.9,178.5,178.5,178.5,1703524983,0.09565,0,0,0,0,0,0
total,338,46,46,46,88.3,134.9,178.0,178.1,178.1,178.1,1703524984,0.08541,0,0,0,0,0,0
total,381,43,43,43,93.3,135.5,178.0,178.1,178.1,178.1,1703524985,0.07664,0,0,0,0,0,0
total,417,36,36,36,111.0,145.0,178.1,178.3,178.3,178.3,1703524986,0.07086,0,0,0,0,0,0
total,461,44,44,44,91.2,134.9,178.0,178.1,178.1,178.1,1703524987,0.06494,0,0,0,0,0,0
total,501,40,40,40,102.8,144.8,178.0,178.0,178.0,178.0,1703524988,0.05995,0,0,0,0,0,0
total,538,37,37,37,103.9,145.0,177.9,178.4,178.4,178.4,1703524989,0.05621,0,0,0,0,0,0
total,582,44,44,44,94.4,134.7,177.9,178.0,178.0,178.0,1703524990,0.05253,0,0,0,0,0,0
total,621,39,39,39,103.2,144.8,177.9,178.0,178.0,178.0,1703524991,0.04936,0,0,0,0,0,0
total,673,52,52,52,73.8,0.8,177.7,177.9,178.0,178.0,1703524992,0.04864,0,0,0,0,0,0
total,712,39,39,39,101.1,144.8,177.9,177.9,177.9,177.9,1703524993,0.0461,0,0,0,0,0,0
total,755,43,43,43,91.8,134.7,177.7,178.0,178.0,178.0,1703524994,0.04365,0,0,0,0,0,0
total,799,44,44,44,90.2,134.7,177.9,179.8,179.8,179.8,1703524995,0.04149,0,0,0,0,0,0
total,837,38,38,38,107.5,144.7,177.7,177.9,177.9,177.9,1703524996,0.03979,0,0,0,0,0,0
total,880,43,43,43,96.0,134.7,177.9,178.8,178.8,178.8,1703524997,0.03796,0,0,0,0,0,0
total,922,42,42,42,91.5,134.7,178.0,178.9,178.9,178.9,1703524998,0.03629,0,0,0,0,0,0
total,964,42,42,42,98.1,134.6,177.7,178.0,178.0,178.0,1703524999,0.03475,0,0,0,0,0,0
total,992,28,28,28,141.8,157.5,178.0,178.0,178.0,178.0,1703525000,0.03605,0,0,0,0,0,0
total,1035,43,43,43,97.0,134.7,177.9,178.4,178.4,178.4,1703525001,0.03466,0,0,0,0,0,0
total,1076,41,41,41,88.7,134.5,177.6,177.9,177.9,177.9,1703525002,0.03337,0,0,0,0,0,0
total,1110,34,34,34,124.6,144.8,177.9,178.1,178.1,178.1,1703525003,0.03286,0,0,0,0,0,0
total,1150,40,40,40,100.4,134.6,177.7,177.9,177.9,177.9,1703525004,0.03174,0,0,0,0,0,0
total,1185,35,35,35,108.1,144.7,177.9,178.3,178.3,178.3,1703525005,0.03112,0,0,0,0,0,0
total,1234,49,49,49,81.3,134.5,177.7,178.0,178.0,178.0,1703525006,0.0307,0,0,0,0,0,0
total,1283,49,49,49,83.7,134.5,177.9,181.3,181.3,181.3,1703525007,0.03028,0,0,0,0,0,0
total,1325,42,42,42,96.0,134.6,177.7,177.9,177.9,177.9,1703525008,0.02935,0,0,0,0,0,0
total,1372,47,47,47,87.5,134.6,177.7,178.0,178.0,178.0,1703525009,0.0287,0,0,0,0,0,0
total,1409,37,37,37,104.0,144.7,177.7,177.7,177.7,177.7,1703525010,0.02809,0,0,0,0,0,0
total,1450,41,41,41,93.1,134.6,177.7,177.9,177.9,177.9,1703525011,0.0273,0,0,0,0,0,0
total,1486,36,36,36,121.6,144.8,177.7,179.8,179.8,179.8,1703525012,0.02683,0,0,0,0,0,0
total,1532,46,46,46,84.9,134.6,177.7,177.7,177.7,177.7,1703525013,0.02625,0,0,0,0,0,0
total,1566,34,34,34,116.4,144.8,177.9,177.9,177.9,177.9,1703525014,0.02604,0,0,0,0,0,0
total,1609,43,43,43,90.2,134.6,177.7,178.0,178.0,178.0,1703525015,0.02539,0,0,0,0,0,0
total,1654,45,45,45,91.5,134.6,177.9,178.4,178.4,178.4,1703525016,0.02484,0,0,0,0,0,0
total,1689,35,35,35,108.0,144.7,177.6,177.7,177.7,177.7,1703525017,0.02456,0,0,0,0,0,0
total,1734,45,45,45,92.9,134.7,177.7,177.9,177.9,177.9,1703525018,0.02406,0,0,0,0,0,0
total,1776,42,42,42,94.0,134.6,177.7,178.0,178.0,178.0,1703525019,0.0235,0,0,0,0,0,0
total,1818,42,42,42,95.7,134.6,177.7,177.7,177.7,177.7,1703525020,0.02297,0,0,0,0,0,0
total,1854,36,36,36,113.5,144.7,177.7,178.1,178.1,178.1,1703525021,0.02268,0,0,0,0,0,0
total,1892,38,38,38,103.7,144.6,177.7,177.7,177.7,177.7,1703525022,0.02227,0,0,0,0,0,0
total,1940,48,48,48,83.8,134.5,177.7,181.3,181.3,181.3,1703525023,0.02205,0,0,0,0,0,0
total,1982,42,42,42,97.4,134.5,177.7,177.9,177.9,177.9,1703525024,0.0216,0,0,0,0,0,0
total,2021,39,39,39,100.5,134.7,177.7,179.3,179.3,179.3,1703525025,0.0212,0,0,0,0,0,0
total,2065,44,44,44,88.8,134.6,177.6,177.7,177.7,177.7,1703525026,0.02081,0,0,0,0,0,0
total,2104,39,39,39,102.6,134.6,177.7,177.9,177.9,177.9,1703525027,0.02045,0,0,0,0,0,0
total,2151,47,47,47,86.2,134.6,177.7,177.9,177.9,177.9,1703525028,0.0202,0,0,0,0,0,0
total,2188,37,37,37,105.3,135.3,177.7,178.3,178.3,178.3,1703525029,0.01994,0,0,0,0,0,0
total,2234,46,46,46,92.3,134.7,177.7,177.7,177.7,177.7,1703525030,0.01966,0,0,0,0,0,0
total,2278,44,44,44,91.0,134.5,177.6,177.9,177.9,177.9,1703525031,0.01933,0,0,0,0,0,0
