type total,ops,op/s,pk/s,row/s,mean,med,.95,.99,.999,max,time,stderr,errors,gc: #,max ms,sum ms,sdv ms,mb
total,14,14,14,14,146.2,138.1,290.2,315.6,315.6,315.6,2023-12-25 17:38:26,0.70711,0,0,0,0,0,0
total,60,46,46,46,101.0,135.1,158.3,315.4,315.4,315.4,2023-12-25 17:38:27,0.55571,0,0,0,0,0,0
total,107,47,47,47,83.4,135.0,157.9,158.3,158.3,158.3,2023-12-25 17:38:28,0.37556,0,0,0,0,0,0
total,159,52,52,52,78.4,134.7,157.9,158.1,158.2,158.2,2023-12-25 17:38:29,0.28577,0,0,0,0,0,0
total,194,35,35,35,107.4,145.0,158.2,289.9,289.9,289.9,2023-12-25 17:38:30,0.23232,0,0,0,0,0,0
total,235,41,41,41,101.6,157.5,157.8,158.2,158.2,158.2,2023-12-25 17:38:31,0.19595,0,0,0,0,0,0
total,275,40,40,40,98.4,135.3,157.9,157.9,157.9,157.9,2023-12-25 17:38:32,0.16978,0,0,0,0,0,0
total,328,53,53,53,79.1,134.6,157.8,157.9,157.9,157.9,2023-12-25 17:38:33,0.15038,0,0,0,0,0,0
total,382,54,54,54,69.4,1.0,157.7,157.7,157.9,157.9,2023-12-25 17:38:34,0.13510,0,0,0,0,0,0
total,428,46,46,46,89.2,134.7,157.8,161.5,161.5,161.5,2023-12-25 17:38:35,0.12185,0,0,0,0,0,0
total,469,41,41,41,97.0,145.0,157.8,157.8,157.8,157.8,2023-12-25 17:38:36,0.11164,0,0,0,0,0,0
total,507,38,38,38,107.2,144.8,157.8,159.1,159.1,159.1,2023-12-25 17:38:37,0.10371,0,0,0,0,0,0
total,552,45,45,45,86.8,134.7,157.7,157.8,157.8,157.8,2023-12-25 17:38:38,0.09585,0,0,0,0,0,0
total,598,46,46,46,91.3,134.9,157.7,157.8,157.8,157.8,2023-12-25 17:38:39,0.08908,0,0,0,0,0,0
total,641,43,43,43,91.0,134.7,157.5,157.5,157.5,157.5,2023-12-25 17:38:40,0.08333,0,0,0,0,0,0
total,685,44,44,44,84.5,134.6,157.5,157.5,157.5,157.5,2023-12-25 17:38:41,0.07822,0,0,0,0,0,0
total,730,45,45,45,92.5,134.7,157.7,157.9,157.9,157.9,2023-12-25 17:38:42,0.07367,0,0,0,0,0,0
total,768,38,38,38,103.9,144.7,157.5,157.7,157.7,157.7,2023-12-25 17:38:43,0.07027,0,0,0,0,0,0
total,814,46,46,46,88.1,134.7,157.5,158.1,158.1,158.1,2023-12-25 17:38:44,0.06660,0,0,0,0,0,0
total,856,42,42,42,93.5,134.5,157.5,157.5,157.5,157.5,2023-12-25 17:38:45,0.06342,0,0,0,0,0,0
total,893,37,37,37,110.0,144.8,157.5,157.7,157.7,157.7,2023-12-25 17:38:46,0.06106,0,0,0,0,0,0
total,937,44,44,44,91.4,134.6,157.7,160.3,160.3,160.3,2023-12-25 17:38:47,0.05831,0,0,0,0,0,0
total,977,40,40,40,101.9,144.7,157.5,157.5,157.5,157.5,2023-12-25 17:38:48,0.05599,0,0,0,0,0,0
total,1022,45,45,45,88.3,134.6,157.5,157.5,157.5,157.5,2023-12-25 17:38:49,0.05367,0,0,0,0,0,0
total,1076,54,54,54,73.2,7.0,157.5,157.7,162.1,162.1,2023-12-25 17:38:50,0.05224,0,0,0,0,0,0
total,1117,41,41,41,98.0,144.7,157.5,157.7,157.7,157.7,2023-12-25 17:38:51,0.05037,0,0,0,0,0,0
total,1152,35,35,35,111.3,144.8,157.5,157.5,157.5,157.5,2023-12-25 17:38:52,0.04923,0,0,0,0,0,0
total,1200,48,48,48,85.5,134.6,157.5,159.1,159.1,159.1,2023-12-25 17:38:53,0.04756,0,0,0,0,0,0
total,1254,54,54,54,75.2,0.9,157.5,157.5,157.5,157.5,2023-12-25 17:38:54,0.04645,0,0,0,0,0,0
total,1289,35,35,35,109.1,157.3,157.5,157.9,157.9,157.9,2023-12-25 17:38:55,0.04556,0,0,0,0,0,0
total,1333,44,44,44,94.2,134.6,157.4,157.7,157.7,157.7,2023-12-25 17:38:56,0.04410,0,0,0,0,0,0
total,1371,38,38,38,102.2,144.7,157.5,162.1,162.1,162.1,2023-12-25 17:38:57,0.04299,0,0,0,0,0,0
total,1418,47,47,47,87.6,134.6,157.4,162.3,162.3,162.3,2023-12-25 17:38:58,0.04172,0,0,0,0,0,0
total,1467,49,49,49,82.3,134.6,157.5,157.5,157.5,157.5,2023-12-25 17:38:59,0.04059,0,0,0,0,0,0
total,1513,46,46,46,87.2,134.6,157.4,157.7,157.7,157.7,2023-12-25 17:39:00,0.03943,0,0,0,0,0,0
total,1565,52,52,52,77.8,134.3,157.4,157.5,157.5,157.5,2023-12-25 17:39:01,0.03858,0,0,0,0,0,0
total,1616,51,51,51,76.0,134.3,157.4,157.4,157.4,157.4,2023-12-25 17:39:02,0.03770,0,0,0,0,0,0
total,1655,39,39,39,101.1,144.7,157.5,157.5,157.5,157.5,2023-12-25 17:39:03,0.03690,0,0,0,0,0,0
total,1696,41,41,41,98.3,144.6,157.5,157.7,157.7,157.7,2023-12-25 17:39:04,0.03604,0,0,0,0,0,0
total,1739,43,43,43,93.5,134.6,157.5,158.2,158.2,158.2,2023-12-25 17:39:05,0.03516,0,0,0,0,0,0
