time,node-whx-rn_guest_nice,node-whx-rn_guest,node-whx-rn_steal,node-whx-rn_softirq,node-whx-rn_irq,node-whx-rn_user,node-whx-rn_system,node-whx-rn_nice,node-whx-rn_iowait,node-whx-rn_avail,node-whx-rn_received,node-whx-rn_sent,node-whx-rn_forwarded,node-whx-rn_delivered,node-whx-rs_guest_nice,node-whx-rs_guest,node-whx-rs_steal,node-whx-rs_softirq,node-whx-rs_irq,node-whx-rs_user,node-whx-rs_system,node-whx-rs_nice,node-whx-rs_iowait,node-whx-rs_avail,node-whx-rs_received,node-whx-rs_sent,node-whx-rs_forwarded,node-whx-rs_delivered,node-whx-sc_guest_nice,node-whx-sc_guest,node-whx-sc_steal,node-whx-sc_softirq,node-whx-sc_irq,node-whx-sc_user,node-whx-sc_system,node-whx-sc_nice,node-whx-sc_iowait,node-whx-sc_avail,node-whx-sc_received,node-whx-sc_sent,node-whx-sc_forwarded,node-whx-sc_delivered
1703957513,0.0,0.0,0.0,3.25,0.0,47.25,7.0,12.875,0.125,3595.172,0.0,0.0,0.0,0.0,0,0,0,1.0457516,0,9.803922,3.921569,0.2614379,0.0,13494.719,0.0,0.0,0,0.0,0,0,0,0.6451613,0,4.903226,3.870968,13.16129,0.0,13407.293,0.0,0.0,0,0.0
1703957512,0.0,0.0,0.0,2.760351,0.0,52.19573,5.018821,13.048934,0.0,3859.785,0.0,0.0,0.0,0.0,0,0,0,0.9067358,0,5.569948,4.274611,0.2590674,0.0,13490.34,0.0,0.0,0,0.0,0,0,0,0.6393862,0,6.138107,2.941176,13.171355,0.1278772,13408.062,0.0,0.0,0,0.0
1703957511,0.0,0.0,0.0,3.234153,0.0,33.63519,3.880983,13.712807,0.0,3917.145,1.5426298,-1.5426298,0.0,1.5426298,0,0,0,0.9067358,0,5.181347,4.533679,0.388601,0.0,13490.488,0.0,0.0,0,0.0,0,0,0,0.6410256,0,6.153846,3.205128,13.076923,0.0,13408.934,0.0,0.0,0,0.0
1703957510,0.0,0.0,0.0,3.689567,0.0,34.47837,4.071247,12.977099,0.1272265,3922.336,2.45737,-2.45737,0.0,2.45737,0,0,0,0.7802341,0,6.892068,4.811443,0.130039,0.0,13489.137,0.0,0.0,0,0.0,0,0,0,0.7722008,0,4.890605,3.346203,13.127413,0.1287001,13407.172,1.2571781,-1.2571781,0,1.2571781
1703957509,0.0,0.0,0.0,3.27044,0.0,66.28931,5.283019,12.578616,0.0,3935.195,0.0,0.0,0.0,0.0,0,0,0,1.0335917,0,5.297158,3.359173,0.5167959,0.0,13492.41,0.0,0.0,0,0.0,0,0,0,0.6369427,0,3.949045,2.802548,12.993631,0.0,13407.906,2.742822,-2.742822,0,2.742822
1703957508,0.0,0.0,0.0,3.557814,0.0,36.97586,5.209657,12.96061,0.0,3978.941,0.0,0.0,0.0,0.0,0,0,0,1.0430248,0,8.604954,3.650587,0.2607562,0.0,13492.555,0.0,0.0,0,0.0,0,0,0,0.6393862,0,3.70844,2.30179,13.043478,0.0,13407.996,0.0,0.0,0,0.0
1703957507,0.0,0.0,0.0,3.299492,0.0,46.19289,3.807107,12.944162,0.0,4003.387,0.0,0.0,0.0,0.0,0,0,0,0.9009009,0,6.949807,4.375804,0.3861004,0.0,13491.512,3.350466,-3.350466,0,3.350466,0,0,0,0.6402049,0,3.841229,2.304738,13.060179,0.0,13407.945,0.0,0.0,0,0.0
1703957506,0.0,0.0,0.0,3.87985,0.0,41.05131,6.508135,12.515645,0.0,4027.852,0.0,0.0,0.0,0.0,0,0,0,1.0322581,0,6.064516,4.0,0.2580645,0.0,13491.176,6.649534,-6.649534,0,6.649534,0,0,0,0.6402049,0,5.121639,2.68886,12.932138,0.0,13407.809,0.0,0.0,0,0.0
1703957505,0.0,0.0,0.0,2.525253,0.0,64.14141,5.30303,12.878788,0.0,4314.984,0.0,0.0,0.0,0.0,0,0,0,1.0362694,0,5.569948,4.404145,0.388601,0.0,13488.016,1.3404826,-1.3404826,0,1.3404826,0,0,0,0.7653061,0,5.357143,3.061224,13.010204,0.0,13408.445,0.0,0.0,0,0.0
1703957504,0.0,0.0,0.0,3.011292,0.0,54.07779,4.76788,12.923463,0.0,4377.746,0.0,0.0,0.0,0.0,0,0,0,0.9067358,0,4.92228,3.756477,0.388601,0.0,13492.648,2.659517,-2.659517,0,2.659517,0,0,0,0.6418485,0,3.337612,2.567394,13.09371,0.0,13408.305,0.0,0.0,0,0.0
