time,avail
2023-12-25 13:56:19,13968.883
2023-12-25 13:56:18,13968.875
2023-12-25 13:56:17,13966.668
2023-12-25 13:56:16,13968.18
2023-12-25 13:56:15,13964.492
2023-12-25 13:56:14,13968.23
2023-12-25 13:56:13,13967.02
2023-12-25 13:56:12,13969.477
2023-12-25 13:56:11,13969.535
2023-12-25 13:56:10,13969.289
2023-12-25 13:56:09,13969.711
2023-12-25 13:56:08,13968.645
2023-12-25 13:56:07,13968.465
2023-12-25 13:56:06,13970.629
2023-12-25 13:56:05,13970.34
2023-12-25 13:56:04,13969.582
2023-12-25 13:56:03,13969.574
2023-12-25 13:56:02,13972.004
2023-12-25 13:56:01,13972.23
2023-12-25 13:56:00,13970.762
2023-12-25 13:55:59,13967.785
2023-12-25 13:55:58,13967.121
2023-12-25 13:55:57,13967.355
2023-12-25 13:55:56,13966.125
2023-12-25 13:55:55,13965.871
2023-12-25 13:55:54,13965.422
2023-12-25 13:55:53,13965.344
2023-12-25 13:55:52,13968.133
2023-12-25 13:55:51,13968.328
2023-12-25 13:55:50,13967.562
2023-12-25 13:55:49,13967.836
2023-12-25 13:55:48,13967.453
2023-12-25 13:55:47,13968.168
2023-12-25 13:55:46,13958.121
2023-12-25 13:55:45,13966.5
2023-12-25 13:55:44,13966.434
2023-12-25 13:55:43,13966.289
2023-12-25 13:55:42,13968.879
2023-12-25 13:55:41,13967.582
2023-12-25 13:55:40,13967.625
2023-12-25 13:55:39,13968.09
2023-12-25 13:55:38,13968.219
2023-12-25 13:55:37,13966.383
2023-12-25 13:55:36,13969.277
2023-12-25 13:55:35,13967.324
2023-12-25 13:55:34,13966.285
2023-12-25 13:55:33,13964.586
2023-12-25 13:55:32,13968.262
2023-12-25 13:55:31,13967.672
2023-12-25 13:55:30,13968.055
2023-12-25 13:55:29,13967.816
2023-12-25 13:55:28,13967.953
2023-12-25 13:55:27,13966.758
2023-12-25 13:55:26,13968.586
2023-12-25 13:55:25,13966.895
2023-12-25 13:55:24,13966.602
2023-12-25 13:55:23,13965.801
2023-12-25 13:55:22,13969.055
2023-12-25 13:55:21,13969.625
2023-12-25 13:55:20,13969.828
2023-12-25 13:55:19,13968.133
2023-12-25 13:55:18,13968.605
2023-12-25 13:55:17,13958.258
2023-12-25 13:55:16,13970.551
2023-12-25 13:55:15,13970.738
2023-12-25 13:55:14,13970.246
2023-12-25 13:55:13,13970.66
2023-12-25 13:55:12,13971.988
2023-12-25 13:55:11,13973.07
2023-12-25 13:55:10,13972.512
2023-12-25 13:55:09,13972.996
2023-12-25 13:55:08,13971.34
2023-12-25 13:55:07,13971.781
2023-12-25 13:55:06,13973.484
2023-12-25 13:55:05,13973.605
2023-12-25 13:55:04,13974.348
2023-12-25 13:55:03,13974.117
2023-12-25 13:55:02,13974.969
2023-12-25 13:55:01,13975.324
2023-12-25 13:55:00,13972.996
2023-12-25 13:54:59,13972.504
2023-12-25 13:54:58,13972.262
2023-12-25 13:54:57,13972.254
2023-12-25 13:54:56,13972.715
2023-12-25 13:54:55,13973.055
2023-12-25 13:54:54,13981.559
2023-12-25 13:54:53,13981.559
2023-12-25 13:54:52,13982.137
2023-12-25 13:54:51,13982.086
2023-12-25 13:54:50,13972.242
2023-12-25 13:54:49,13981.926
2023-12-25 13:54:48,13981.016
2023-12-25 13:54:47,13979.957
2023-12-25 13:54:46,13982.336
2023-12-25 13:54:45,13981.551
2023-12-25 13:54:44,13981.781
2023-12-25 13:54:43,13980.293
2023-12-25 13:54:42,13983.082
2023-12-25 13:54:41,13982.742
2023-12-25 13:54:40,13982.734
2023-12-25 13:54:39,13982.367
2023-12-25 13:54:38,13982.715
2023-12-25 13:54:37,13980.859
2023-12-25 13:54:36,13982.031
2023-12-25 13:54:35,13982.297
2023-12-25 13:54:34,13982.453
2023-12-25 13:54:33,13981.289
2023-12-25 13:54:32,13983.188
2023-12-25 13:54:31,13983.801
2023-12-25 13:54:30,13984.496
2023-12-25 13:54:29,13983.258
2023-12-25 13:54:28,13983.258
2023-12-25 13:54:27,13980.586
2023-12-25 13:54:26,13982.27
2023-12-25 13:54:25,13982.508
2023-12-25 13:54:24,13981.559
2023-12-25 13:54:23,13979.527
2023-12-25 13:54:22,13983.246
