time,received,sent,forwarded,delivered
2023-12-25 13:56:19,5862.956,-6585.349,4750.107,1106.7471
2023-12-25 13:56:18,5833.739,-6552.62,4733.67,1095.9663
2023-12-25 13:56:17,5930.853,-6653.917,4823.178,1103.778
2023-12-25 13:56:16,5972.853,-6710.323,4865.464,1102.3889
2023-12-25 13:56:15,5919.223,-6666.267,4810.83,1102.9442
2023-12-25 13:56:14,5834.355,-6562.576,4734.614,1093.7407
2023-12-25 13:56:13,5737.865,-6432.854,4625.424,1106.4407
2023-12-25 13:56:12,5706.074,-6396.538,4590.488,1110.0345
2023-12-25 13:56:11,5664.921,-6354.121,4592.929,1068.3379
2023-12-25 13:56:10,5767.594,-6435.296,4670.037,1093.7625
2023-12-25 13:56:09,5857.93,-6549.435,4755.013,1095.1232
2023-12-25 13:56:08,5720.605,-6423.081,4640.601,1067.7609
2023-12-25 13:56:07,5726.787,-6418.808,4594.928,1122.2416
2023-12-25 13:56:06,5722.218,-6440.455,4603.045,1114.8269
2023-12-25 13:56:05,5615.273,-6298.666,4567.424,1042.2965
2023-12-25 13:56:04,5667.548,-6349.467,4607.175,1054.9249
2023-12-25 13:56:03,5447.892,-6108.072,4413.638,1028.2516
2023-12-25 13:56:02,5156.011,-5788.969,4169.168,980.8423
2023-12-25 13:56:01,5116.741,-5719.598,4137.827,972.9167
2023-12-25 13:56:00,5043.746,-5623.805,4083.495,954.2509
2023-12-25 13:55:59,4935.192,-5516.812,3980.361,948.8313
2023-12-25 13:55:58,4885.171,-5487.369,3934.56,945.0596
2023-12-25 13:55:57,4803.156,-5425.882,3874.497,924.5565
2023-12-25 13:55:56,5041.013,-5663.491,4076.032,959.2896
2023-12-25 13:55:55,5061.068,-5657.807,4087.476,963.2465
2023-12-25 13:55:54,4838.162,-5422.465,3894.302,933.654
2023-12-25 13:55:53,4828.43,-5422.232,3893.417,927.4611
2023-12-25 13:55:52,4762.158,-5355.464,3837.48,918.1271
2023-12-25 13:55:51,4826.338,-5424.855,3916.142,904.1957
2023-12-25 13:55:50,4906.039,-5519.531,3993.095,906.9432
2023-12-25 13:55:49,4834.158,-5432.973,3917.398,911.209
2023-12-25 13:55:48,4829.848,-5422.68,3914.069,910.7798
2023-12-25 13:55:47,4800.209,-5425.173,3884.462,910.7469
2023-12-25 13:55:46,4812.71,-5428.067,3904.21,904.398
2023-12-25 13:55:45,4830.48,-5404.814,3915.761,910.3727
2023-12-25 13:55:44,4420.958,-4937.825,3559.698,854.8105
2023-12-25 13:55:43,3945.974,-4424.034,3192.221,747.6501
2023-12-25 13:55:42,3854.503,-4313.789,3133.649,716.3024
2023-12-25 13:55:41,3735.607,-4157.361,3017.267,712.9943
2023-12-25 13:55:40,4121.921,-4559.319,3293.355,822.015
2023-12-25 13:55:39,4380.031,-4824.327,3477.251,889.1543
2023-12-25 13:55:38,3961.463,-4387.393,3165.498,779.6932
2023-12-25 13:55:37,3706.906,-4138.407,2968.585,731.2181
2023-12-25 13:55:36,3531.841,-3971.027,2822.354,703.4879
2023-12-25 13:55:35,3507.673,-3926.803,2826.707,674.9653
