type total,ops,op/s,pk/s,row/s,mean,med,.95,.99,.999,max,time,stderr,errors,gc: #,max ms,sum ms,sdv ms,mb
total,28,28,28,28,429.6,410.3,661.7,663.2,663.2,663.2,2023-07-18 22:50:49,0.00000,0,0,0,0,0,0
total,206,178,178,178,986.9,979.9,1254.1,1267.7,1275.1,1275.1,2023-07-18 22:50:50,-0.91559,0,0,0,0,0,0
total,378,172,172,172,1634.1,1637.9,1925.2,1933.6,1937.8,1937.8,2023-07-18 22:50:51,-0.69924,0,0,0,0,0,0
total,523,145,145,145,2274.7,2264.9,2602.6,2631.9,2631.9,2631.9,2023-07-18 22:50:52,-0.64661,0,0,0,0,0,0
total,640,117,117,117,2954.9,2929.7,3139.4,3191.9,3196.1,3196.1,2023-07-18 22:50:53,-0.62774,0,0,0,0,0,0
total,796,156,156,156,3735.6,3716.2,4074.8,4089.4,4097.8,4097.8,2023-07-18 22:50:54,-0.60689,0,0,0,0,0,0
total,940,144,144,144,4463.1,4412.4,4815.1,4831.8,4836.0,4836.0,2023-07-18 22:50:55,-0.59438,0,0,0,0,0,0
total,1088,148,148,148,5177.1,5159.0,5494.5,5507.1,5511.3,5511.3,2023-07-18 22:50:56,-0.58352,0,0,0,0,0,0
total,1241,153,153,153,5876.4,5905.6,6199.2,6203.4,6207.6,6207.6,2023-07-18 22:50:57,-0.57380,0,0,0,0,0,0
total,1387,146,146,146,6551.0,6543.1,6828.3,6887.0,6899.6,6899.6,2023-07-18 22:50:58,-0.56627,0,0,0,0,0,0
total,1519,132,132,132,7365.6,7365.2,7629.4,7646.2,7650.4,7650.4,2023-07-18 22:50:59,-0.56109,0,0,0,0,0,0
total,1660,141,141,141,8076.2,8082.4,8350.9,8371.8,8371.8,8371.8,2023-07-18 22:51:00,-0.55566,0,0,0,0,0,0
total,1768,108,108,108,8773.1,8640.3,9152.0,9177.1,9185.5,9185.5,2023-07-18 22:51:01,-0.55326,0,0,0,0,0,0
total,1931,163,163,163,9473.9,9454.0,9814.7,9831.4,9831.4,9831.4,2023-07-18 22:51:02,-0.54726,0,0,0,0,0,0
total,2125,194,194,194,10164.3,10167.0,10427.0,10443.8,10443.8,10443.8,2023-07-18 22:51:03,-0.53991,0,0,0,0,0,0
total,2326,201,201,201,10768.6,10796.1,11031.0,11039.4,11039.4,11039.4,2023-07-18 22:51:04,-0.53279,0,0,0,0,0,0
total,2509,183,183,183,11481.7,11517.6,11676.9,11685.3,11685.3,11685.3,2023-07-18 22:51:05,-0.52713,0,0,0,0,0,0
total,2690,181,181,181,12044.6,12146.7,12314.5,12322.9,12331.3,12331.3,2023-07-18 22:51:06,-0.52199,0,0,0,0,0,0
total,2907,217,217,217,12549.4,12557.7,12759.1,12792.6,12817.8,12817.8,2023-07-18 22:51:07,-0.51563,0,0,0,0,0,0
total,3097,190,190,190,13313.1,13304.3,13505.7,13505.7,13514.0,13514.0,2023-07-18 22:51:08,-0.51080,0,0,0,0,0,0
total,3334,237,237,237,13762.0,13757.3,14017.4,14034.1,14042.5,14042.5,2023-07-18 22:51:09,-0.50459,0,0,0,0,0,0
total,3566,232,232,232,14334.0,14352.9,14554.2,14571.0,14571.0,14571.0,2023-07-18 22:51:10,-0.49891,0,0,0,0,0,0
total,3736,170,170,170,14838.5,14764.0,15225.3,15233.7,15242.1,15242.1,2023-07-18 22:51:11,-0.49553,0,0,0,0,0,0
total,3941,205,205,205,15443.4,15426.7,15795.7,15829.3,15837.7,15837.7,2023-07-18 22:51:12,-0.49130,0,0,0,0,0,0
total,4183,242,242,242,16105.0,16131.3,16315.8,16332.6,16332.6,16332.6,2023-07-18 22:51:13,-0.48627,0,0,0,0,0,0
total,4340,157,157,157,16558.0,16525.6,17012.1,17062.4,17070.8,17070.8,2023-07-18 22:51:14,-0.48373,0,0,0,0,0,0
total,4594,254,254,254,17285.0,17297.3,17498.6,17515.4,17515.4,17515.4,2023-07-18 22:51:15,-0.47891,0,0,0,0,0,0
total,4845,251,251,251,17764.6,17767.1,18002.0,18018.7,18018.7,18018.7,2023-07-18 22:51:16,-0.47439,0,0,0,0,0,0
total,5064,219,219,219,18215.9,18220.1,18404.6,18488.5,18522.0,18522.0,2023-07-18 22:51:17,-0.47077,0,0,0,0,0,0
total,5262,198,198,198,18976.4,18975.0,19176.4,19193.1,19193.1,19193.1,2023-07-18 22:51:18,-0.46778,0,0,0,0,0,0
total,5438,176,176,176,19610.7,19662.9,19813.9,19830.7,19830.7,19830.7,2023-07-18 22:51:19,-0.46537,0,0,0,0,0,0
total,5702,264,264,264,20057.4,20065.6,20283.7,20300.4,20300.4,20300.4,2023-07-18 22:51:20,-0.46136,0,0,0,0,0,0
total,5865,163,163,163,20778.0,20837.3,20971.5,20971.5,20971.5,20971.5,2023-07-18 22:51:21,-0.45937,0,0,0,0,0,0
total,6111,246,246,246,21217.4,21206.4,21474.8,21474.8,21491.6,21491.6,2023-07-18 22:51:22,-0.45600,0,0,0,0,0,0
total,6378,267,267,267,21717.0,21709.7,21927.8,21944.6,21944.6,21944.6,2023-07-18 22:51:23,-0.45240,0,0,0,0,0,0
total,6576,198,198,198,22257.7,22330.5,22548.6,22548.6,22548.6,22548.6,2023-07-18 22:51:24,-0.45005,0,0,0,0,0,0
total,6769,193,193,193,22828.9,22766.7,23152.6,23169.3,23169.3,23169.3,2023-07-18 22:51:25,-0.44787,0,0,0,0,0,0
total,7020,251,251,251,23441.5,23471.3,23655.9,23672.7,23672.7,23672.7,2023-07-18 22:51:26,-0.44490,0,0,0,0,0,0
total,7209,189,189,189,23894.8,23806.9,24276.6,24293.4,24310.2,24310.2,2023-07-18 22:51:27,-0.44292,0,0,0,0,0,0
total,7451,242,242,242,24545.0,24528.3,24779.9,24796.7,24796.7,24796.7,2023-07-18 22:51:28,-0.44027,0,0,0,0,0,0
total,7690,239,239,239,25068.6,25081.9,25300.0,25316.8,25316.8,25316.8,2023-07-18 22:51:29,-0.43775,0,0,0,0,0,0
total,7865,175,175,175,25535.1,25534.9,25702.7,25769.8,25803.4,25803.4,2023-07-18 22:51:30,-0.43612,0,0,0,0,0,0
total,8080,215,215,215,26246.9,26256.3,26457.7,26474.4,26508.0,26508.0,2023-07-18 22:51:31,-0.43406,0,0,0,0,0,0
total,8252,172,172,172,26970.4,26961.0,27179.1,27195.9,27195.9,27195.9,2023-07-18 22:51:32,-0.43258,0,0,0,0,0,0
total,8508,256,256,256,27445.2,27447.5,27682.4,27682.4,27699.2,27699.2,2023-07-18 22:51:33,-0.43017,0,0,0,0,0,0
total,8687,179,179,179,27957.4,27850.2,28303.2,28336.7,28336.7,28336.7,2023-07-18 22:51:34,-0.42869,0,0,0,0,0,0
total,8966,279,279,279,28543.1,28554.8,28756.1,28772.9,28772.9,28772.9,2023-07-18 22:51:35,-0.42617,0,0,0,0,0,0
total,9214,248,248,248,29027.6,29024.6,29259.5,29276.2,29276.2,29276.2,2023-07-18 22:51:36,-0.42404,0,0,0,0,0,0
total,9386,172,172,172,29744.0,29779.6,29913.8,29930.6,29930.6,29930.6,2023-07-18 22:51:37,-0.42275,0,0,0,0,0,0
total,9643,257,257,257,30176.8,30182.2,30400.3,30417.1,30417.1,30417.1,2023-07-18 22:51:38,-0.42065,0,0,0,0,0,0
total,9816,173,173,173,30616.8,30601.6,30836.5,30886.9,30954.0,30954.0,2023-07-18 22:51:39,-0.41941,0,0,0,0,0,0
total,10017,201,201,201,31328.0,31339.8,31557.9,31608.3,31641.8,31641.8,2023-07-18 22:51:40,-0.41795,0,0,0,0,0,0
total,10239,222,222,222,32017.6,32010.9,32212.3,32229.0,32229.0,32229.0,2023-07-18 22:51:41,-0.41633,0,0,0,0,0,0
total,10490,251,251,251,32473.1,32463.9,32715.6,32715.6,32732.3,32732.3,2023-07-18 22:51:42,-0.41449,0,0,0,0,0,0
