type total,ops,op/s,pk/s,row/s,mean,med,.95,.99,.999,max,time,stderr,errors,gc: #,max ms,sum ms,sdv ms,mb
total,63.0,63.0,63.0,63.0,420.7,394.0,619.2,628.6,632.3,632.3,2023-07-19 14:25:42,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total,174.0,111.0,111.0,111.0,1119.8,1125.1,1406.1,1415.6,1420.8,1420.8,2023-07-19 14:25:43,-3.32828,0.0,0.0,0.0,0.0,0.0,0.0
total,279.0,105.0,105.0,105.0,1832.4,1885.3,2183.1,2193.6,2210.4,2210.4,2023-07-19 14:25:44,-1.72689,0.0,0.0,0.0,0.0,0.0,0.0
total,401.0,122.0,122.0,122.0,2593.9,2581.6,2944.4,2954.9,2965.4,2965.4,2023-07-19 14:25:45,-1.28261,0.0,0.0,0.0,0.0,0.0,0.0
total,537.0,136.0,136.0,136.0,3352.1,3378.5,3674.2,3691.0,3699.4,3699.4,2023-07-19 14:25:46,-1.06147,0.0,0.0,0.0,0.0,0.0,0.0
total,623.0,86.0,86.0,86.0,3995.5,3986.7,4288.7,4303.4,4378.9,4378.9,2023-07-19 14:25:47,-0.98085,0.0,0.0,0.0,0.0,0.0,0.0
total,714.0,91.0,91.0,91.0,4916.9,4878.0,5339.3,5347.7,5347.7,5347.7,2023-07-19 14:25:48,-0.92426,0.0,0.0,0.0,0.0,0.0,0.0
total,852.0,138.0,138.0,138.0,5707.6,5708.4,6044.0,6060.8,6073.4,6073.4,2023-07-19 14:25:49,-0.85713,0.0,0.0,0.0,0.0,0.0,0.0
total,956.0,104.0,104.0,104.0,6563.0,6601.8,6845.1,6857.7,6861.9,6861.9,2023-07-19 14:25:50,-0.8203,0.0,0.0,0.0,0.0,0.0,0.0
total,1097.0,141.0,141.0,141.0,7216.1,7210.0,7541.4,7562.3,7566.5,7566.5,2023-07-19 14:25:51,-0.77832,0.0,0.0,0.0,0.0,0.0,0.0
total,1233.0,136.0,136.0,136.0,7961.7,7944.0,8292.1,8304.7,8308.9,8308.9,2023-07-19 14:25:52,-0.74571,0.0,0.0,0.0,0.0,0.0,0.0
total,1343.0,110.0,110.0,110.0,8802.0,8816.4,9076.5,9084.9,9084.9,9084.9,2023-07-19 14:25:53,-0.72453,0.0,0.0,0.0,0.0,0.0,0.0
total,1443.0,100.0,100.0,100.0,9577.0,9705.6,9865.0,9873.4,9890.2,9890.2,2023-07-19 14:25:54,-0.70839,0.0,0.0,0.0,0.0,0.0,0.0
total,1561.0,118.0,118.0,118.0,10223.2,10200.5,10636.8,10678.7,10678.7,10678.7,2023-07-19 14:25:55,-0.69119,0.0,0.0,0.0,0.0,0.0,0.0
total,1700.0,139.0,139.0,139.0,11022.3,10997.5,11349.8,11366.6,11366.6,11366.6,2023-07-19 14:25:56,-0.67279,0.0,0.0,0.0,0.0,0.0,0.0
total,1838.0,138.0,138.0,138.0,11753.4,11744.1,12079.6,12096.4,12096.4,12096.4,2023-07-19 14:25:57,-0.65668,0.0,0.0,0.0,0.0,0.0,0.0
total,1939.0,101.0,101.0,101.0,12580.6,12641.6,12876.5,12884.9,12884.9,12884.9,2023-07-19 14:25:58,-0.64682,0.0,0.0,0.0,0.0,0.0,0.0
total,2071.0,132.0,132.0,132.0,13240.3,13237.2,13522.4,13589.5,13597.9,13597.9,2023-07-19 14:25:59,-0.63441,0.0,0.0,0.0,0.0,0.0,0.0
total,2184.0,113.0,113.0,113.0,14096.1,14092.9,14378.1,14394.9,14394.9,14394.9,2023-07-19 14:26:00,-0.62509,0.0,0.0,0.0,0.0,0.0,0.0
total,2312.0,128.0,128.0,128.0,14820.4,14847.8,15133.0,15141.4,15149.8,15149.8,2023-07-19 14:26:01,-0.61518,0.0,0.0,0.0,0.0,0.0,0.0
total,2448.0,136.0,136.0,136.0,15546.4,15569.3,15854.5,15879.6,15879.6,15879.6,2023-07-19 14:26:02,-0.60541,0.0,0.0,0.0,0.0,0.0,0.0
total,2568.0,120.0,120.0,120.0,16291.9,16307.5,16617.8,16634.6,16643.0,16643.0,2023-07-19 14:26:03,-0.59765,0.0,0.0,0.0,0.0,0.0,0.0
total,2695.0,127.0,127.0,127.0,17026.3,17003.7,17364.4,17381.2,17381.2,17381.2,2023-07-19 14:26:04,-0.58994,0.0,0.0,0.0,0.0,0.0,0.0
total,2794.0,99.0,99.0,99.0,17694.1,17666.4,18186.5,18186.5,18186.5,18186.5,2023-07-19 14:26:05,-0.58466,0.0,0.0,0.0,0.0,0.0,0.0
total,2942.0,148.0,148.0,148.0,18533.6,18522.0,18874.4,18891.1,18891.1,18891.1,2023-07-19 14:26:06,-0.57662,0.0,0.0,0.0,0.0,0.0,0.0
total,3056.0,114.0,114.0,114.0,19365.6,19377.7,19646.1,19662.9,19662.9,19662.9,2023-07-19 14:26:07,-0.57111,0.0,0.0,0.0,0.0,0.0,0.0
total,3165.0,109.0,109.0,109.0,19997.3,19998.4,20334.0,20401.1,20401.1,20401.1,2023-07-19 14:26:08,-0.56618,0.0,0.0,0.0,0.0,0.0,0.0
total,3282.0,117.0,117.0,117.0,20910.8,20921.2,21189.6,21206.4,21206.4,21206.4,2023-07-19 14:26:09,-0.56113,0.0,0.0,0.0,0.0,0.0,0.0
total,3410.0,128.0,128.0,128.0,21600.3,21575.5,21944.6,21944.6,21961.4,21961.4,2023-07-19 14:26:10,-0.55581,0.0,0.0,0.0,0.0,0.0,0.0
total,3512.0,102.0,102.0,102.0,22345.1,22229.8,22749.9,22749.9,22749.9,22749.9,2023-07-19 14:26:11,-0.55199,0.0,0.0,0.0,0.0,0.0,0.0
total,3631.0,119.0,119.0,119.0,23100.2,23102.2,23404.2,23471.3,23488.1,23488.1,2023-07-19 14:26:12,-0.54759,0.0,0.0,0.0,0.0,0.0,0.0
total,3747.0,116.0,116.0,116.0,23984.6,23991.4,24259.9,24276.6,24276.6,24276.6,2023-07-19 14:26:13,-0.54354,0.0,0.0,0.0,0.0,0.0,0.0
total,3837.0,90.0,90.0,90.0,24529.6,24511.5,24880.6,24981.3,25014.8,25014.8,2023-07-19 14:26:14,-0.54071,0.0,0.0,0.0,0.0,0.0,0.0
