type total,ops,op/s,pk/s,row/s,mean,med,.95,.99,.999,max,time,stderr,errors,gc: #,max ms,sum ms,sdv ms,mb
total,35,35,35,35,507.6,504.4,637.5,649.6,649.6,649.6,2023-07-19 13:37:51,0.00000,0,0,0,0,0,0
total,138,103,103,103,1062.6,1058.0,1369.4,1433.4,1437.6,1437.6,2023-07-19 13:37:52,-1.74965,0,0,0,0,0,0
total,277,139,139,139,1795.2,1796.2,2094.0,2158.0,2162.2,2162.2,2023-07-19 13:37:53,-0.94402,0,0,0,0,0,0
total,401,124,124,124,2560.4,2543.8,2900.4,2912.9,2912.9,2912.9,2023-07-19 13:37:54,-0.75473,0,0,0,0,0,0
total,546,145,145,145,3257.1,3265.3,3475.0,3542.1,3554.7,3554.7,2023-07-19 13:37:55,-0.64337,0,0,0,0,0,0
total,711,165,165,165,3967.7,3936.4,4274.0,4286.6,4303.4,4303.4,2023-07-19 13:37:56,-0.57064,0,0,0,0,0,0
total,885,174,174,174,4615.3,4605.3,4886.4,4911.5,4919.9,4919.9,2023-07-19 13:37:57,-0.51952,0,0,0,0,0,0
total,1042,157,157,157,5328.1,5347.7,5591.0,5607.8,5616.2,5616.2,2023-07-19 13:37:58,-0.48844,0,0,0,0,0,0
total,1226,184,184,184,5942.3,5934.9,6232.7,6245.3,6245.3,6245.3,2023-07-19 13:37:59,-0.45933,0,0,0,0,0,0
total,1399,173,173,173,6579.8,6568.3,6878.7,6895.4,6899.6,6899.6,2023-07-19 13:38:00,-0.43867,0,0,0,0,0,0
total,1527,128,128,128,7329.7,7361.0,7629.4,7637.8,7642.0,7642.0,2023-07-19 13:38:01,-0.42867,0,0,0,0,0,0
total,1682,155,155,155,7985.9,7969.2,8313.1,8355.1,8363.4,8363.4,2023-07-19 13:38:02,-0.41700,0,0,0,0,0,0
total,1831,149,149,149,8722.8,8749.3,9017.8,9042.9,9042.9,9042.9,2023-07-19 13:38:03,-0.40771,0,0,0,0,0,0
total,1945,114,114,114,9514.8,9546.2,9806.3,9823.1,9831.4,9831.4,2023-07-19 13:38:04,-0.40303,0,0,0,0,0,0
total,2100,155,155,155,10199.2,10208.9,10485.8,10494.1,10502.5,10502.5,2023-07-19 13:38:05,-0.39541,0,0,0,0,0,0
total,2221,121,121,121,10805.8,10779.4,11081.4,11198.8,11198.8,11198.8,2023-07-19 13:38:06,-0.39115,0,0,0,0,0,0
total,2379,158,158,158,11627.4,11626.6,11920.2,11928.6,11937.0,11937.0,2023-07-19 13:38:07,-0.38485,0,0,0,0,0,0
total,2530,151,151,151,12312.3,12331.3,12624.9,12641.6,12641.6,12641.6,2023-07-19 13:38:08,-0.37959,0,0,0,0,0,0
total,2693,163,163,163,12979.7,12977.2,13295.9,13304.3,13312.7,13312.7,2023-07-19 13:38:09,-0.37415,0,0,0,0,0,0
total,2818,125,125,125,13704.0,13707.0,14059.3,14076.1,14084.5,14084.5,2023-07-19 13:38:10,-0.37110,0,0,0,0,0,0
total,2940,122,122,122,14462.8,14453.6,14822.7,14839.4,14839.4,14839.4,2023-07-19 13:38:11,-0.36841,0,0,0,0,0,0
total,3039,99,99,99,15162.3,15141.4,15443.4,15628.0,15628.0,15628.0,2023-07-19 13:38:12,-0.36690,0,0,0,0,0,0
total,3155,116,116,116,16045.7,16030.6,16391.3,16399.7,16408.1,16408.1,2023-07-19 13:38:13,-0.36478,0,0,0,0,0,0
total,3270,115,115,115,16822.6,16794.0,17163.1,17179.9,17196.6,17196.6,2023-07-19 13:38:14,-0.36282,0,0,0,0,0,0
total,3356,86,86,86,17522.4,17565.7,17834.2,17918.1,17968.4,17968.4,2023-07-19 13:38:15,-0.36198,0,0,0,0,0,0
total,3486,130,130,130,18414.8,18454.9,18740.2,18756.9,18756.9,18756.9,2023-07-19 13:38:16,-0.35971,0,0,0,0,0,0
total,3599,113,113,113,19153.3,19142.8,19511.9,19528.7,19528.7,19528.7,2023-07-19 13:38:17,-0.35808,0,0,0,0,0,0
