Src IP,Src Port,Dst IP,Dst Port,Protocol,time,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
201.54.158.2,35714,10.50.75.153,7199,6,2023-07-19 13:37:50,64.0,1,1,74,54,74.0,74.0,74.0,0.0,54.0,54.0,54.0,0.0,2000000.0,31250.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,20,15625.0,15625.0,54,74,64.0,10.0,100.0,1,0,0,0,0,0,0,1.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,64860,0,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NeedManualLabel
201.54.158.2,35726,10.50.75.153,7199,6,2023-07-19 13:37:51,42.0,1,1,74,54,74.0,74.0,74.0,0.0,54.0,54.0,54.0,0.0,3047619.0476190476,47619.04761904762,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,20,23809.52380952381,23809.52380952381,54,74,64.0,10.0,100.0,1,0,0,0,0,0,0,1.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,64860,0,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NeedManualLabel
201.54.158.2,35736,10.50.75.153,7199,6,2023-07-19 13:37:52,41.0,1,1,74,54,74.0,74.0,74.0,0.0,54.0,54.0,54.0,0.0,3121951.219512195,48780.487804878045,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,20,24390.243902439022,24390.243902439022,54,74,64.0,10.0,100.0,1,0,0,0,0,0,0,1.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,64860,0,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NeedManualLabel
201.54.158.2,41560,10.50.75.153,7199,6,2023-07-19 13:38:00,57.0,1,1,74,54,74.0,74.0,74.0,0.0,54.0,54.0,54.0,0.0,2245614.035087719,35087.71929824561,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,20,17543.859649122805,17543.859649122805,54,74,64.0,10.0,100.0,1,0,0,0,0,0,0,1.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,64860,0,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NeedManualLabel
201.54.158.2,36118,10.50.75.153,7000,6,2023-07-19 13:37:29,90306310.0,166,165,28144,10890,212.0,133.0,169.5421686746988,34.440904933614156,66.0,66.0,66.0,0.0,432.24000626312824,3.665303122229222,273655.3939393939,507271.0949598867,2975774.0,-30.0,90306310.0,547310.9696969697,604079.0444181997,2975802.0,5.0,89553874.0,546060.2073170731,605703.0107526081,2975806.0,28.0,0,0,0,0,3320,3300,1.8381882727796097,1.827114849449612,66,212,117.92749244712991,57.22849362717881,3275.1004828360456,1,0,0,0,0,0,0,0.9939759036144579,117.92749244712991,1117.142857142857,10.785714285714286,285.5917014501777,0.0,0.0,0.0,507,3111,166,20,1150856.0,508879.34390236356,1945923.0,584117.0,657171.6,580863.7323003048,2000586.0000000002,6998.0,NeedManualLabel
10.50.75.153,43916,10.50.114.54,7000,6,2023-07-19 13:37:29,90337391.0,146,145,24004,9570,212.0,134.0,164.41095890410958,31.226453316887206,66.0,66.0,66.0,0.0,371.6512025457986,3.2212575189380885,311508.2448275862,521656.8875126229,2976110.0,0.0,90337391.0,623016.4896551725,616242.7034154657,3000639.0,908.0,89579078.0,622076.9305555555,618237.5850112229,3000558.0,679.0,0,0,0,0,2920,2900,1.6161635662026148,1.6050939527354737,66,212,115.37457044673539,53.94786116679549,2910.371724471841,1,0,0,0,0,0,0,0.9931506849315068,115.37457044673539,573.8421052631579,5.7894736842105265,342.9519890491904,0.0,0.0,0.0,507,3098,146,20,931068.8,593667.8939701556,1971098.0,173023.0,827985.75,727306.8714795959,1971666.0,8721.0,NeedManualLabel
10.50.75.153,42054,10.50.88.60,7000,6,2023-07-19 13:37:29,90497682.0,137,136,23106,8976,212.0,134.0,168.65693430656935,33.71400496451748,66.0,66.0,66.0,0.0,354.50631763142843,3.016651851922572,332712.0661764706,625488.3611233506,3007253.0,4.0,90497682.0,665424.1323529412,769562.5891846138,3031824.0,117.0,87676938.0,649458.8,749694.3523830258,3031415.0,4.0,0,0,0,0,2740,2720,1.5138509293530855,1.5028009225694865,66,212,117.51648351648352,56.61249864666776,3204.975003018959,1,0,0,0,0,0,0,0.9927007299270073,117.51648351648352,677.0625,6625,321.4257738786148,0.0,0.0,0.0,507,3111,137,20,500821.14285714284,510431.89438564907,1217254.0,863.0,719992.0,657095.7667485683,1951164.0,20975.0,NeedManualLabel
201.54.158.2,52936,10.50.75.153,7000,6,2023-07-19 13:37:29,90573252.0,126,125,20963,8250,212.0,134.0,166.37301587301587,31.527950342660585,66.0,66.0,66.0,0.0,322.5345160401219,2.7712375834755276,362292776,666990.8004228588,3199909.0,-29.0,90573252.0,724586016,792011.4698728849,3199975.0,5.0,87772950.0,707846.3709677419,772860.0970052361,3199940.0,37.0,0,0,0,0,2520,2500,1.3911391853303445,1.380098398145183,66,212,116.38645418326693,54.93297306407381,3017.6315296582593,1,0,0,0,0,0,0,0.9920634920634921,116.38645418326693,668.9230769230769,6.538461538461538,328.7411143310636,0.0,0.0,0.0,507,3085,126,20,955602.1818181818,664540.9238107459,2031615.0,3983.0000000000005,739550.3333333334,511313.5653420294,1696400.0,18447.0,NeedManualLabel
201.54.158.2,57898,10.50.75.153,7199,6,2023-07-19 13:38:23,40.0,1,1,74,54,74.0,74.0,74.0,0.0,54.0,54.0,54.0,0.0,3199999.9999999995,49999.99999999999,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,20,24999.999999999996,24999.999999999996,54,74,64.0,10.0,100.0,1,0,0,0,0,0,0,1.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,64860,0,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NeedManualLabel
201.54.158.2,57902,10.50.75.153,7199,6,2023-07-19 13:38:24,42.0,1,1,74,54,74.0,74.0,74.0,0.0,54.0,54.0,54.0,0.0,3047619.0476190476,47619.04761904762,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,20,23809.52380952381,23809.52380952381,54,74,64.0,10.0,100.0,1,0,0,0,0,0,0,1.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,64860,0,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NeedManualLabel
