time,received,sent,forwarded,delivered
2023-12-23 16:18:34,516.5461,-437.7223,0,516.5461
2023-12-23 16:18:33,609.9786,-498.2186,0,609.9786
2023-12-23 16:18:32,599.4449,-473.983,0,599.4449
2023-12-23 16:18:31,536.1206,-430.3394,1.882163,534.2384
2023-12-23 16:18:30,388.1886,-339.5382,2.117837,386.0707
2023-12-23 16:18:29,305.3409,-301.4578,1.882098,303.4588
2023-12-23 16:18:28,379.2168,-364.3332,2.117902,377.0989
2023-12-23 16:18:27,362.6553,-335.188,1.881966,360.7734
2023-12-23 16:18:26,385.375,-344.2673,3.999672,381.3753
2023-12-23 16:18:25,456.2987,-390.2956,2.118362,454.1803
2023-12-23 16:18:24,540.3896,-460.2685,0,540.3896
2023-12-23 16:18:23,588.8061,-476.3407,0,588.8061
2023-12-23 16:18:22,601.9393,-477.5387,1.881616,600.0577
2023-12-23 16:18:21,530.0187,-441.7069,2.118384,527.9003
2023-12-23 16:18:20,363.045,-334.3354,0,363.045
2023-12-23 16:18:19,317.1272,-316.3033,0,317.1272
2023-12-23 16:18:18,328.1722,-327.4667,1.882634,326.2895
2023-12-23 16:18:17,328.9415,-314.5181,2.117366,326.8241
2023-12-23 16:18:16,429.9258,-382.2655,1.88392,428.0418
2023-12-23 16:18:15,492.724,-436.8056,2.11608,490.608
2023-12-23 16:18:14,529.9921,-466.4716,0,529.9921
2023-12-23 16:18:13,567.6033,-466.3672,0,567.6033
2023-12-23 16:18:12,624.2067,-474.3182,1.882353,622.3243
2023-12-23 16:18:11,540.5953,-437.3622,2.117647,538.4777
2023-12-23 16:18:10,309.1056,-300.0446,0,309.1056
2023-12-23 16:18:09,267.5949,-270.9479,0,267.5949
2023-12-23 16:18:08,303.8447,-308.9029,0,303.8447
2023-12-23 16:18:07,242.8745,-241.6999,0,242.8745
2023-12-23 16:18:06,313.8062,-284.2259,0,313.8062
2023-12-23 16:18:05,428.4352,-367.7842,0,428.4352
2023-12-23 16:18:04,499.1165,-430.2345,0,499.1165
2023-12-23 16:18:03,540.2908,-441.0729,0,540.2908
2023-12-23 16:18:02,571.014,-434.3662,0,571.014
2023-12-23 16:18:01,488.1215,-394.519,0,488.1215
2023-12-23 16:18:00,306.7141,-286.5887,0,306.7141
2023-12-23 16:17:59,252.4729,-254.8257,0,252.4729
2023-12-23 16:17:58,296.2379,-300.2969,0,296.2379
2023-12-23 16:17:57,294.6968,-288.7567,0,294.6968
2023-12-23 16:17:56,348.5371,-309.4893,0,348.5371
2023-12-23 16:17:55,431.4633,-373.9886,0,431.4633
2023-12-23 16:17:54,490.2334,-423.3572,0,490.2334
2023-12-23 16:17:53,564.2048,-460.73,0,564.2048
2023-12-23 16:17:52,542.7207,-434.3659,0,542.7207
2023-12-23 16:17:51,523.6381,-420.7668,1.881685,521.7564
2023-12-23 16:17:50,534.3932,-442.9723,2.118315,532.2749
2023-12-23 16:17:49,386.6499,-354.0508,1.881623,384.7683
2023-12-23 16:17:48,307.988,-312.0475,2.118377,306.3401
2023-12-23 16:17:47,301.2346,-297.6471,0,301.2935
2023-12-23 16:17:46,374.3556,-341.2474,0,373.8262
2023-12-23 16:17:45,443.1159,-387.4673,0,443.1159
2023-12-23 16:17:44,477.8593,-409.809,0,477.8593
2023-12-23 16:17:43,554.0013,-456.2852,0,554.0013
2023-12-23 16:17:42,595.4844,-469.8365,0,595.4844
2023-12-23 16:17:41,510.999,-419.882,0,510.999
2023-12-23 16:17:40,387.8018,-358.9164,0,387.8018
2023-12-23 16:17:39,331.6971,-322.399,0,331.6971
2023-12-23 16:17:38,355.9286,-356.2244,3.76321,352.1654
2023-12-23 16:17:37,312.307,-309.659,4.23679,308.0702
2023-12-23 16:17:36,336.7886,-317.0327,0,336.7886
2023-12-23 16:17:35,461.5027,-412.4414,0,461.5027
2023-12-23 16:17:34,516.8885,-449.5367,0,516.8885
2023-12-23 16:17:33,536.8868,-451.3088,0,536.8868
2023-12-23 16:17:32,619.4232,-494.9107,0,619.4232
2023-12-23 16:17:31,590.5313,-474.7364,0,590.5313
2023-12-23 16:17:30,330.9674,-295.0805,1.882202,329.0852
2023-12-23 16:17:29,264.1172,-266.3512,2.117798,261.9994
2023-12-23 16:17:28,299.8203,-305.4096,0,299.8203
2023-12-23 16:17:27,305.4072,-278.8215,0,305.4072
2023-12-23 16:17:26,419.9191,-358.9296,0,419.9191
2023-12-23 16:17:25,490.3836,-422.7918,0,490.3836
2023-12-23 16:17:24,554.9607,-462.5372,1.882443,553.0783
2023-12-23 16:17:23,600.877,-487.4773,3.999581,596.8775
2023-12-23 16:17:22,611.4529,-477.1824,3.999482,607.4534
2023-12-23 16:17:21,510.3253,-413.5891,2.118494,508.2068
2023-12-23 16:17:20,307.2591,-292.7855,0,307.2591
2023-12-23 16:17:19,250.4926,-254.4331,0,250.4926
2023-12-23 16:17:18,277.2469,-282.2469,0,277.2469
2023-12-23 16:17:17,231.3707,-234.0185,0,231.3707
2023-12-23 16:17:16,301.2164,-280.5151,0,301.2164
2023-12-23 16:17:15,411.0003,-365.1177,0,411.0003
2023-12-23 16:17:14,460.1199,-393.2988,0,460.1199
2023-12-23 16:17:13,513.704,-416.7637,0,513.704
2023-12-23 16:17:12,627.8892,-483.7134,0,627.8892
2023-12-23 16:17:11,622.0651,-494.8904,0,622.0651
2023-12-23 16:17:10,357.7059,-327.7539,0,357.7059
2023-12-23 16:17:09,258.8033,-264.7442,0,258.8033
2023-12-23 16:17:08,288.9022,-294.9614,0,288.9022
2023-12-23 16:17:07,281.156,-275.806,0,281.156
2023-12-23 16:17:06,356.9768,-318.8096,0,356.9768
2023-12-23 16:17:05,440.9128,-375.6124,0,440.9128
2023-12-23 16:17:04,513.1803,-429.5822,0,513.1803
2023-12-23 16:17:03,502.5235,-403.9364,1.882491,500.641
2023-12-23 16:17:02,511.3671,-397.8921,2.117509,509.2496
2023-12-23 16:17:01,501.4021,-411.2902,0,501.4021
2023-12-23 16:17:00,342.7299,-322.3198,0,342.7299
2023-12-23 16:16:59,273.063,-276.6512,0,273.063
2023-12-23 16:16:58,294.6052,-298.0163,0,294.6052
2023-12-23 16:16:57,276.1275,-275.4824,0,276.1275
2023-12-23 16:16:56,390.5745,-357.6986,0,390.5745
2023-12-23 16:16:55,473.1722,-415.8833,0,473.1722
2023-12-23 16:16:54,479.9514,-402.0809,0,479.9514
2023-12-23 16:16:53,588.2676,-480.3134,0,588.2676
2023-12-23 16:16:52,625.3876,-500.3874,0,625.3876
2023-12-23 16:16:51,491.7173,-381.6612,0,491.7173
2023-12-23 16:16:50,332.0519,-295.7428,0,332.0519
2023-12-23 16:16:49,244.9338,-250.4045,0,244.9338
2023-12-23 16:16:48,285.4753,-291.0048,0,285.4753
2023-12-23 16:16:47,289.0967,-280.9253,0,289.0967
2023-12-23 16:16:46,370.9885,-327.2896,0,370.9885
