time,guest_nice,guest,steal,softirq,irq,user,system,nice,iowait
2023-12-23 16:18:34,0,0,0,0,0,0.7653061,1.0204082,0,0
2023-12-23 16:18:33,0,0,0,0.2518892,0,0.7556675,1.0075567,0,0
2023-12-23 16:18:32,0,0,0,0,0,6.075949,1.0126582,0,0
2023-12-23 16:18:31,0,0,0,0,0,22.92191,3.02267,0,0.2518892
2023-12-23 16:18:30,0,0,0,0,0,14.393939,1.767677,0,0
2023-12-23 16:18:29,0,0,0,0.2525253,0,17.92929,2.777778,0,0
2023-12-23 16:18:28,0,0,0,0.2518892,0,46.09572,3.778338,0,0
2023-12-23 16:18:27,0,0,0,0.5076142,0,17.25888,3.045685,0,0
2023-12-23 16:18:26,0,0,0,0,0,45.99483,4.392765,0,0
2023-12-23 16:18:25,0,0,0,0.2518892,0,34.25693,3.274559,0,0
2023-12-23 16:18:24,0,0,0,0,0,16.326531,2.295918,0,0
2023-12-23 16:18:23,0,0,0,0.2518892,0,31.23426,3.778338,0,0
2023-12-23 16:18:22,0,0,0,0,0,5.316456,1.0126582,0,0
2023-12-23 16:18:21,0,0,0,0.7556675,0,27.45592,3.526448,0,0
2023-12-23 16:18:20,0,0,0,0,0,10.10101,1.010101,0,0
2023-12-23 16:18:19,0,0,0,0,0,1.763224,0.7556675,0,0.2518892
2023-12-23 16:18:18,0,0,0,0.2538071,0,38.83249,5.076142,0,0
2023-12-23 16:18:17,0,0,0,0,0,25,2.75,0,0
2023-12-23 16:18:16,0,0,0,0.2518892,0,4.785894,1.2594458,0,0
2023-12-23 16:18:15,0,0,0,0.2570694,0,41.38817,3.598972,0,0
2023-12-23 16:18:14,0,0,0,0,0,17.3028,3.307888,0,0
2023-12-23 16:18:13,0,0,0,0,0,1.2594458,0.5037783,0,0
2023-12-23 16:18:12,0,0,0,0.511509,0,37.85166,3.836317,0,0
2023-12-23 16:18:11,0,0,0,0.2518892,0,24.43325,2.015113,0,0
2023-12-23 16:18:10,0,0,0,0,0,0.7575758,0.7575758,0,0
2023-12-23 16:18:09,0,0,0,0.2538071,0,22.08122,1.2690355,0,0
2023-12-23 16:18:08,0,0,0,0,0,4.282116,1.763224,0,0
2023-12-23 16:18:07,0,0,0,0,0,1.5075377,0.2512563,0,0
2023-12-23 16:18:06,0,0,0,0,0,1.2562814,1.0050251,0,0
2023-12-23 16:18:05,0,0,0,0,0,1.2690355,0.5076142,0,0
2023-12-23 16:18:04,0,0,0,0,0,1.77665,0.5076142,0,0
2023-12-23 16:18:03,0,0,0,0,0,1.0050251,1.0050251,0,0
2023-12-23 16:18:02,0,0,0,0.2525253,0,1.010101,0.5050505,0,0
