type total,ops,op/s,pk/s,row/s,mean,med,.95,.99,.999,max,time,stderr,errors,gc: #,max ms,sum ms,sdv ms,mb
total,42.0,42.0,42.0,42.0,850.6,850.4,1038.6,1067.5,1067.5,1067.5,1690928116,-0.70711,0.0,0.0,0.0,0.0,0.0,0.0
total,151.0,109.0,109.0,109.0,1440.9,1424.0,1755.3,1811.9,1815.1,1815.1,1690928117,-0.61285,0.0,0.0,0.0,0.0,0.0,0.0
total,254.0,103.0,103.0,103.0,2250.2,2262.8,2598.4,2627.7,2634.0,2634.0,1690928118,-0.59998,0.0,0.0,0.0,0.0,0.0,0.0
total,302.0,48.0,48.0,48.0,2922.7,2818.6,3470.8,3544.2,3544.2,3544.2,1690928119,-0.61914,0.0,0.0,0.0,0.0,0.0,0.0
total,374.0,72.0,72.0,72.0,3848.0,3814.7,4150.3,4167.0,4167.0,4167.0,1690928120,-0.62206,0.0,0.0,0.0,0.0,0.0,0.0
total,492.0,118.0,118.0,118.0,4710.9,4706.0,5100.3,5138.0,5142.2,5142.2,1690928121,-0.61393,0.0,0.0,0.0,0.0,0.0,0.0
total,561.0,69.0,69.0,69.0,5680.9,5683.3,5955.9,5964.3,5972.7,5972.7,1690928122,-0.61576,0.0,0.0,0.0,0.0,0.0,0.0
total,652.0,91.0,91.0,91.0,6386.1,6371.1,6819.9,6832.5,6861.9,6861.9,1690928123,-0.61355,0.0,0.0,0.0,0.0,0.0,0.0
total,705.0,53.0,53.0,53.0,7279.8,7226.8,7746.9,7763.7,7772.0,7772.0,1690928124,-0.61597,0.0,0.0,0.0,0.0,0.0,0.0
total,799.0,94.0,94.0,94.0,8146.6,8183.1,8485.1,8497.7,8501.9,8501.9,1690928125,-0.61318,0.0,0.0,0.0,0.0,0.0,0.0
total,898.0,99.0,99.0,99.0,9098.7,9185.5,9336.5,9344.9,9361.7,9361.7,1690928126,-0.61005,0.0,0.0,0.0,0.0,0.0,0.0
total,1027.0,129.0,129.0,129.0,9646.7,9579.8,10041.2,10074.7,10091.5,10091.5,1690928127,-0.60457,0.0,0.0,0.0,0.0,0.0,0.0
total,1083.0,56.0,56.0,56.0,10527.7,10477.4,10938.7,11005.9,11014.2,11014.2,1690928128,-0.60493,0.0,0.0,0.0,0.0,0.0,0.0
total,1202.0,119.0,119.0,119.0,11331.4,11316.2,11643.4,11693.7,11718.9,11718.9,1690928129,-0.60083,0.0,0.0,0.0,0.0,0.0,0.0
total,1290.0,88.0,88.0,88.0,12310.4,12381.6,12557.7,12566.1,12574.5,12574.5,1690928130,-0.5989,0.0,0.0,0.0,0.0,0.0,0.0
total,1385.0,95.0,95.0,95.0,13008.0,13044.3,13346.3,13354.7,13363.1,13363.1,1690928131,-0.59662,0.0,0.0,0.0,0.0,0.0,0.0
total,1479.0,94.0,94.0,94.0,13906.4,14009.0,14151.6,14160.0,14185.1,14185.1,1690928132,-0.59448,0.0,0.0,0.0,0.0,0.0,0.0
total,1612.0,133.0,133.0,133.0,14565.2,14537.5,14906.6,14914.9,14948.5,14948.5,1690928133,-0.59056,0.0,0.0,0.0,0.0,0.0,0.0
total,1660.0,48.0,48.0,48.0,15286.5,15200.2,15779.0,15812.5,15812.5,15812.5,1690928134,-0.59063,0.0,0.0,0.0,0.0,0.0,0.0
total,1773.0,113.0,113.0,113.0,16136.8,16156.5,16433.3,16592.7,16592.7,16592.7,1690928135,-0.58793,0.0,0.0,0.0,0.0,0.0,0.0
total,1860.0,87.0,87.0,87.0,17099.4,17146.3,17381.2,17398.0,17398.0,17398.0,1690928136,-0.58635,0.0,0.0,0.0,0.0,0.0,0.0
total,2034.0,174.0,174.0,174.0,17769.6,17783.8,18069.1,18085.8,18085.8,18085.8,1690928137,-0.58163,0.0,0.0,0.0,0.0,0.0,0.0
total,2114.0,80.0,80.0,80.0,18439.6,18270.4,18907.9,18958.3,18991.8,18991.8,1690928138,-0.58041,0.0,0.0,0.0,0.0,0.0,0.0
total,2213.0,99.0,99.0,99.0,19261.5,19293.8,19495.1,19562.2,19579.0,19579.0,1690928139,-0.57856,0.0,0.0,0.0,0.0,0.0,0.0
total,2250.0,37.0,37.0,37.0,20177.3,20149.4,20585.6,20585.6,20585.6,20585.6,1690928140,-0.57873,0.0,0.0,0.0,0.0,0.0,0.0
